country_code,disruption_category,affected_price_category,affected_commodity_name,expected_lag_days,impact_direction
IRN,CONFLICT,OIL,Crude Oil,2,UP
IRQ,CONFLICT,OIL,Crude Oil,2,UP
YEM,CONFLICT,OIL,Crude Oil,3,UP
SAU,CONFLICT,OIL,Crude Oil,1,UP
SYR,CONFLICT,OIL,Crude Oil,3,UP
LBN,CONFLICT,OIL,Crude Oil,4,UP
RUS,CONFLICT,OIL,Crude Oil,2,UP
RUS,CONFLICT,GAS,Natural Gas,2,UP
RUS,CONFLICT,OTHER,Wheat,5,UP
UKR,CONFLICT,OIL,Crude Oil,3,UP
UKR,CONFLICT,GAS,Natural Gas,2,UP
UKR,CONFLICT,OTHER,Wheat,3,UP
CHN,CONFLICT,OTHER,Copper,5,UP
TWN,CONFLICT,OTHER,Semiconductors,3,UP
PRK,CONFLICT,OIL,Crude Oil,1,UP
VEN,CONFLICT,OIL,Crude Oil,2,UP
LBY,CONFLICT,OIL,Crude Oil,2,UP
NGA,CONFLICT,OIL,Crude Oil,3,UP
SDN,CONFLICT,OTHER,Gold,3,UP
ETH,CONFLICT,OTHER,Coffee,5,UP
COL,CONFLICT,OTHER,Coffee,5,UP
COD,CONFLICT,OTHER,Cobalt,5,UP
IRN,NATURAL_DISASTER,OIL,Crude Oil,1,UP
SAU,NATURAL_DISASTER,OIL,Crude Oil,1,UP
USA,NATURAL_DISASTER,OIL,Crude Oil,2,UP
USA,NATURAL_DISASTER,GAS,Natural Gas,1,UP
BRA,NATURAL_DISASTER,OTHER,Coffee,5,UP
BRA,NATURAL_DISASTER,OTHER,Soybeans,5,UP
IDN,NATURAL_DISASTER,OTHER,Palm Oil,4,UP
AUS,NATURAL_DISASTER,OTHER,Coal,3,UP
